Episode,Filler,Arc,Year
269,1,2,2012
270,1,2,2012
271,0,2,2012
272,1,2,2012
273,1,2,2012
274,1,2,2012
275,1,2,2012
276,1,2,2012
277,1,2,2012
278,1,2,2012
279,0,2,2012
280,0,2,2012
281,0,2,2012
282,1,2,2012
283,1,2,2012
284,0,2,2012
285,0,2,2012
286,0,2,2012
287,0,2,2012
288,0,2,2012
289,0,2,2012
290,0,2,2012
291,0,2,2012
292,0,2,2012
293,0,2,2012
294,0,2,2012
295,0,2,2013
296,1,3,2013
297,1,3,2013
298,1,3,2013
299,1,3,2013
300,1,3,2013
301,1,3,2013
302,1,3,2013
303,0,3,2013
304,0,3,2013
305,0,3,2013
306,0,3,2013
307,0,3,2013
308,0,3,2013
309,0,3,2013
310,0,3,2013
311,0,3,2013
312,0,3,2013
313,0,3,2013
314,0,3,2013
315,0,3,2013
316,0,3,2013
317,0,3,2013
318,0,3,2013
319,0,3,2013
320,0,3,2013
321,1,3,2013
322,1,3,2013
323,1,3,2013
324,0,3,2013
325,1,3,2013
326,1,3,2013
327,0,3,2013
328,0,3,2013
329,1,3,2013
330,0,3,2013
331,0,3,2013
332,1,3,2013
333,1,3,2013
334,1,3,2013
335,1,3,2013
336,1,3,2013
337,1,3,2013
338,0,3,2013
339,1,3,2013
340,1,3,2013
341,1,3,2013
342,1,3,2013
343,1,3,2013
344,1,3,2014
345,1,3,2014
346,0,3,2014
347,0,3,2014
348,0,3,2014
349,0,3,2014
350,0,3,2014
351,0,3,2014
352,0,3,2014
353,0,3,2014
354,0,3,2014
355,0,3,2014
356,0,3,2014
357,0,3,2014
358,0,3,2014
359,0,3,2014
360,0,3,2014
361,0,3,2014
362,0,3,2014
363,1,3,2014
364,1,3,2014
365,1,3,2014
366,1,3,2014
367,1,3,2014
368,1,3,2014
369,1,3,2014
370,1,3,2014
371,1,3,2014
372,1,3,2014
373,1,3,2014
374,1,3,2014
375,1,3,2014
376,0,3,2014
377,0,3,2014
378,1,3,2014
379,1,3,2014
380,1,3,2014
381,1,3,2014
382,1,3,2014
383,1,3,2014
384,1,3,2014
385,0,3,2014
386,0,3,2014
387,1,3,2014
388,0,3,2014
389,0,3,2014
390,0,3,2014
391,1,3,2014
392,1,3,2014
393,1,3,2014
394,0,3,2015
395,0,3,2015
396,0,3,2015
397,0,3,2015
398,0,3,2015
399,0,3,2015
400,0,3,2015
401,0,3,2015
402,0,3,2015
403,0,3,2015
404,0,3,2015
405,0,3,2015
406,0,3,2015
407,0,3,2015
408,0,3,2015
409,0,3,2015
410,0,3,2015
411,0,3,2015
412,0,3,2015
413,0,3,2015
414,1,3,2015
415,1,3,2015
416,0,3,2015
417,0,3,2015
418,1,3,2015
419,0,3,2015
420,1,3,2015
421,1,3,2015
422,0,3,2015
423,0,3,2015
424,1,3,2015
425,1,3,2015
426,0,3,2015
427,0,3,2015
428,0,3,2015
429,0,3,2015
430,0,3,2015
431,0,3,2015
432,0,4,2015
433,0,4,2015
434,0,4,2015
435,0,4,2015
436,0,4,2015
437,0,4,2015
438,0,4,2015
439,0,4,2015
440,0,4,2015
441,0,4,2015
442,0,4,2015
443,0,4,2015
444,0,4,2016
445,0,4,2016
446,0,4,2016
447,0,4,2016
448,0,4,2016
449,0,4,2016
450,0,4,2016
451,0,4,2016
452,0,4,2016
453,0,4,2016
454,0,4,2016
455,0,4,2016
456,0,4,2016
457,0,4,2016
458,0,4,2016
459,1,4,2016
460,0,4,2016
461,0,4,2016
462,0,4,2016
463,1,4,2016
464,0,4,2016
465,0,4,2016
466,0,4,2016
467,0,4,2016
468,0,4,2016
469,0,4,2016
470,1,4,2016
471,0,4,2016
472,0,4,2016
473,1,4,2016
474,1,4,2016
475,1,4,2016
476,1,4,2016
477,1,4,2016
478,0,4,2016
479,0,4,2016
480,0,4,2016
481,0,4,2016
482,0,4,2016
483,0,4,2016
484,1,4,2016
485,1,4,2016
486,1,4,2016
487,1,4,2016
488,1,4,2017
489,1,4,2017
490,1,4,2017
491,1,4,2017
492,1,4,2017
493,1,4,2017
494,1,4,2017
495,1,4,2017
496,1,4,2017
497,1,4,2017
498,1,4,2017
499,1,4,2017
500,1,4,2017
